sqft,bdrms,age,ocean_proximity,median_income,population,price
3080,642,35,<1H OCEAN,4.1218,1362,328500
1616,322,33,<1H OCEAN,4.0391,580,337500
4982,1358,22,<1H OCEAN,3.7105,2237,272600
2152,527,21,<1H OCEAN,3.2386,996,277300
3100,687,33,<1H OCEAN,4.3333,1388,261300
2814,675,24,<1H OCEAN,4.1875,1463,309300
6707,1737,22,<1H OCEAN,3.1478,2620,273700
2544,500,33,<1H OCEAN,4.475,1035,314800
2795,622,28,<1H OCEAN,4.4423,1173,280400
2548,647,26,<1H OCEAN,4.3839,1098,299100
6064,1826,22,<1H OCEAN,2.875,4876,227100
2593,566,32,<1H OCEAN,3.9886,1596,199200
1664,300,35,<1H OCEAN,4.6731,1000,224100
1600,349,37,<1H OCEAN,4.1597,1012,201600
2205,453,33,<1H OCEAN,4.1319,1242,203700
2794,523,36,<1H OCEAN,4.3462,1334,222100
1254,229,36,<1H OCEAN,4.9643,629,236100
1656,310,36,<1H OCEAN,5.5675,817,215900
1952,387,36,<1H OCEAN,4.185,1156,209200
2396,421,36,<1H OCEAN,4.7,1064,223600
1493,285,36,<1H OCEAN,4.8646,766,213200
1275,222,35,<1H OCEAN,5.0282,959,195400
1620,272,35,<1H OCEAN,5.5209,1052,203300
2394,424,36,<1H OCEAN,4.3261,1490,206700
1663,299,34,<1H OCEAN,5.1265,762,211000
4101,849,29,<1H OCEAN,4.6607,2630,199800
3124,796,18,<1H OCEAN,2.9389,1855,213200
2592,490,35,<1H OCEAN,5.0623,1427,246400
1843,329,35,<1H OCEAN,4.4271,1041,205100
1286,242,36,<1H OCEAN,3.5333,788,196800
1599,294,34,<1H OCEAN,4.3194,819,197000
3910,838,33,<1H OCEAN,3.8247,2097,208700
8327,1849,13,<1H OCEAN,3.7313,4126,189800
2891,594,35,<1H OCEAN,4.3571,1757,199800
3270,818,33,<1H OCEAN,3.225,2118,205300
1668,332,35,<1H OCEAN,4.5125,807,200300
1614,308,35,<1H OCEAN,4.1806,850,209000
2066,434,37,<1H OCEAN,4.0924,1031,188400
1328,287,36,<1H OCEAN,4.5648,823,193700
1558,322,42,<1H OCEAN,2.2304,884,203800
2327,479,33,<1H OCEAN,4.2344,1166,262500
2871,581,34,<1H OCEAN,3.7049,1350,227500
2537,418,35,<1H OCEAN,5.3028,1161,229200
2182,409,38,<1H OCEAN,4.2865,1141,221100
4249,933,18,<1H OCEAN,4.1304,2047,229100
2720,490,35,<1H OCEAN,5.0796,1158,228300
2156,509,26,<1H OCEAN,4,1142,224700
4315,1304,19,<1H OCEAN,2.6437,2490,195000
1795,346,37,<1H OCEAN,4.9102,1082,207200
2221,662,26,<1H OCEAN,2.8701,1998,191100
2549,651,21,<1H OCEAN,3.6905,1624,179800
5862,,18,<1H OCEAN,3.1106,3161,170600
1963,420,31,<1H OCEAN,3.5313,1494,211800
881,170,42,<1H OCEAN,2.9511,464,203900
1560,275,37,<1H OCEAN,3.8516,763,206900
1892,347,37,<1H OCEAN,4.8295,1039,212100
2618,692,32,<1H OCEAN,2.625,1961,192300
2307,388,34,<1H OCEAN,4.2143,1168,245400
4175,885,26,<1H OCEAN,4.2083,2118,240300
1544,308,36,<1H OCEAN,4.175,891,190900
2273,,35,<1H OCEAN,4.0789,1431,196700
782,144,35,<1H OCEAN,5.4548,425,201400
1237,242,34,<1H OCEAN,3.9615,671,183600
2579,561,34,<1H OCEAN,4.433,1237,235100
1366,224,36,<1H OCEAN,4.8264,719,251000
3380,790,22,<1H OCEAN,2.5739,2199,239200
1938,457,25,<1H OCEAN,3.9632,1280,240300
978,170,36,<1H OCEAN,4.675,475,222500
1856,370,31,<1H OCEAN,4.3654,990,223800
2642,696,24,<1H OCEAN,3.0187,1649,217700
2335,669,26,<1H OCEAN,2.9974,1986,178800
847,185,18,<1H OCEAN,5.2149,733,201900
1389,252,37,<1H OCEAN,5.015,826,220900
2795,606,27,<1H OCEAN,3.7798,1702,258400
4891,793,23,<1H OCEAN,5.8798,2447,270500
3262,753,17,<1H OCEAN,4.1359,1879,255200
6227,1317,13,<1H OCEAN,4.0313,3739,299300
2560,441,35,<1H OCEAN,5.6345,1428,228200
2209,353,27,<1H OCEAN,4.7125,1034,250900
1943,320,34,<1H OCEAN,5.0462,895,227700
2389,521,34,<1H OCEAN,4.8333,1560,225400
9512,2560,21,<1H OCEAN,2.8039,7282,227500
3494,557,34,<1H OCEAN,5.6407,1861,251500
1636,275,33,<1H OCEAN,5.6356,866,241300
3234,517,26,<1H OCEAN,6.1074,1597,258600
2633,471,34,<1H OCEAN,4.0909,1313,232900
1058,228,41,<1H OCEAN,3.3534,778,180500
1718,467,16,<1H OCEAN,3.6296,896,160900
2609,431,33,<1H OCEAN,5.4527,1208,227100
3098,542,23,<1H OCEAN,5.7613,1486,235800
3952,647,31,<1H OCEAN,5.5709,1762,244800
4312,574,16,<1H OCEAN,8.4438,1902,390000
5429,665,5,<1H OCEAN,9.6465,2315,500001
7480,1084,23,<1H OCEAN,6.9223,3037,338400
3233,553,32,<1H OCEAN,5.0025,1678,234900
7411,1045,19,<1H OCEAN,6.7785,2814,336100
2737,868,17,<1H OCEAN,2.5797,2924,183500
1789,,21,<1H OCEAN,2.754,2300,179800
2869,941,10,<1H OCEAN,3.2297,2162,150000
2581,857,19,<1H OCEAN,2.6159,2004,182300
1770,362,35,<1H OCEAN,5.0483,1083,221000
878,167,36,<1H OCEAN,4.1181,499,190400
7157,1869,18,<1H OCEAN,3.1818,4642,208000
2979,744,21,<1H OCEAN,3.5,1824,223700
2600,441,36,<1H OCEAN,4.1111,1246,215600
2559,469,36,<1H OCEAN,4.5568,1358,201500
1759,311,33,<1H OCEAN,5.223,943,209200
1558,267,35,<1H OCEAN,5.1463,793,220200
1323,228,35,<1H OCEAN,4.233,756,221300
2185,372,34,<1H OCEAN,4.8125,986,266700
2329,399,35,<1H OCEAN,3.8839,966,224900
4286,1071,27,<1H OCEAN,3.3125,2863,222800
3061,1079,15,<1H OCEAN,2.85,2173,187500
908,142,28,<1H OCEAN,5.6159,368,340500
2421,402,29,<1H OCEAN,5.0309,1120,244800
3124,468,25,<1H OCEAN,6.4044,1241,333100
1934,307,35,<1H OCEAN,5.5101,905,267400
1673,284,29,<1H OCEAN,5.5191,794,245800
3824,749,28,<1H OCEAN,4.1154,1790,246400
703,127,34,<1H OCEAN,4.3125,369,210100
14912,4183,16,<1H OCEAN,2.8312,5105,213900
3568,591,32,<1H OCEAN,5.1529,1741,259600
1646,242,32,<1H OCEAN,6.6689,697,433000
2399,373,30,<1H OCEAN,6.0094,1062,245600
3017,494,33,<1H OCEAN,5.6163,1423,248400
3808,623,33,<1H OCEAN,5.1641,1784,263400
3274,571,28,<1H OCEAN,4.4167,1424,247300
1793,339,27,<1H OCEAN,4.925,1016,240300
2772,511,27,<1H OCEAN,5.2016,1346,243000
7544,1031,23,<1H OCEAN,7.642,3221,374900
4769,787,33,<1H OCEAN,5.5798,2019,338200
6767,903,26,<1H OCEAN,7.7846,2574,409000
2981,441,36,<1H OCEAN,6.5304,1243,439800
2072,318,35,<1H OCEAN,6.0928,908,327300
3393,574,29,<1H OCEAN,6.2064,1471,334900
11853,2691,7,<1H OCEAN,4.2009,4404,271300
5944,1345,19,<1H OCEAN,3.8819,2372,328900
1491,355,32,<1H OCEAN,3.0404,756,262800
3268,538,34,<1H OCEAN,6.8482,1463,308300
5252,760,33,<1H OCEAN,6.7977,2041,389700
4607,656,26,<1H OCEAN,7.4918,1769,367600
6612,857,25,<1H OCEAN,8.3912,2519,419000
1689,362,31,<1H OCEAN,4,705,278500
4491,815,32,<1H OCEAN,4.9102,1696,319100
4364,647,29,<1H OCEAN,6.8107,1550,367400
2896,455,33,<1H OCEAN,6.0192,1116,347700
3346,487,30,<1H OCEAN,7.457,1296,392700
5661,791,26,<1H OCEAN,7.9814,2493,409900
1950,383,31,<1H OCEAN,3.1875,870,500001
6476,1082,18,<1H OCEAN,5.6327,2413,500001
1887,359,36,<1H OCEAN,5.4847,761,296000
3441,584,37,<1H OCEAN,4.1656,1283,313100
3999,667,32,<1H OCEAN,6.0794,1628,338500
5791,706,22,<1H OCEAN,10.9201,2059,500001
3856,547,21,<1H OCEAN,8.4196,1422,450700
2023,330,29,<1H OCEAN,6.7694,747,369700
4570,744,28,<1H OCEAN,6.14,1693,361900
1303,155,19,<1H OCEAN,10.5511,450,483100
3073,674,31,<1H OCEAN,4.8984,1486,311700
1893,365,37,<1H OCEAN,4.8036,911,295300
3252,834,31,<1H OCEAN,3.1885,1411,219000
1700,380,43,<1H OCEAN,3.675,930,213100
2082,438,46,<1H OCEAN,3.6534,1047,216000
1611,410,42,<1H OCEAN,3.1923,879,221800
6430,1412,18,<1H OCEAN,3.855,2897,243800
1080,174,11,<1H OCEAN,6.1274,386,315900
3011,529,32,<1H OCEAN,5.0605,1287,311000
1819,291,39,<1H OCEAN,5.4088,770,457300
7214,1994,17,<1H OCEAN,3.0943,4100,174500
7194,1976,16,<1H OCEAN,3.1887,3687,189300
2458,433,34,<1H OCEAN,5.6738,1034,443600
3352,891,25,<1H OCEAN,2.8528,1815,425000
2127,297,36,<1H OCEAN,7.8392,761,500001
2987,391,35,<1H OCEAN,7.1322,1244,500001
17377,4457,20,<1H OCEAN,3.2154,7450,259600
2693,478,39,<1H OCEAN,5.17,1219,335400
3554,762,32,<1H OCEAN,3.6141,1623,290600
11154,1995,23,<1H OCEAN,5.4609,4076,500001
2108,309,32,<1H OCEAN,8.7172,769,500001
3333,488,37,<1H OCEAN,6.4958,1171,500001
3547,523,34,<1H OCEAN,7.139,1187,424000
3104,387,33,<1H OCEAN,13.4196,1111,500001
880,,37,<1H OCEAN,4.1429,369,303600
2829,360,33,<1H OCEAN,10.3587,1010,500001
3539,441,28,<1H OCEAN,10.6796,1190,500001
4394,,24,<1H OCEAN,11.2979,1443,500001
6748,904,28,<1H OCEAN,12.8879,2431,500001
6920,906,28,<1H OCEAN,9.2189,2515,500001
10111,1295,26,<1H OCEAN,10.2292,3599,500001
9657,1189,23,<1H OCEAN,10.4399,3585,500001
6270,1706,28,<1H OCEAN,3.2241,2549,295800
1293,214,42,<1H OCEAN,7.672,459,467600
2900,667,26,<1H OCEAN,3.7125,1090,447400
1856,425,31,<1H OCEAN,2.8448,795,360600
5474,1457,29,<1H OCEAN,3.415,2352,382500
1778,251,44,<1H OCEAN,10.0549,641,500001
4420,1076,15,<1H OCEAN,4.6375,1669,359100
1335,286,37,<1H OCEAN,3.2813,539,301700
1387,337,38,<1H OCEAN,2.9352,713,304500
7828,2038,22,<1H OCEAN,3.6171,3303,318300
1091,260,10,<1H OCEAN,4.1727,517,332600
3876,799,20,<1H OCEAN,4.5656,1334,478400
1495,300,38,<1H OCEAN,3.4698,598,265400
4590,1200,16,<1H OCEAN,3.8273,2195,334900
6306,1473,7,<1H OCEAN,4.642,2381,457300
3823,740,30,<1H OCEAN,4.6,1449,392500
804,117,43,<1H OCEAN,8.2269,267,500001
2536,429,31,<1H OCEAN,5.4591,990,495500
3507,536,30,<1H OCEAN,6.7082,1427,500001
9320,1143,31,<1H OCEAN,10.3599,2980,500001
5264,771,34,<1H OCEAN,8.8115,1738,500001
2873,420,36,<1H OCEAN,8.153,850,500001
3646,610,34,<1H OCEAN,7.629,1390,500001
1693,239,44,<1H OCEAN,10.9237,498,500001
4400,695,37,<1H OCEAN,8.2954,1521,500001
1741,274,33,<1H OCEAN,7.9625,588,490800
1680,238,52,<1H OCEAN,9.042,493,500001
3545,698,41,<1H OCEAN,4.3,1221,500001
3659,921,34,<1H OCEAN,3.6202,1338,366100
4604,1319,23,<1H OCEAN,3.1373,2391,263100
2630,617,29,<1H OCEAN,3.3669,1071,376100
2358,546,42,<1H OCEAN,3.1289,1065,320600
2933,619,36,<1H OCEAN,4.3036,1115,365900
3110,650,29,<1H OCEAN,4.2031,1212,394400
917,181,29,<1H OCEAN,3.4612,379,425000
4084,1062,20,<1H OCEAN,3.2388,1637,256300
3881,909,31,<1H OCEAN,3.0398,1535,369100
4032,868,33,<1H OCEAN,4.3468,1695,425900
680,131,48,<1H OCEAN,4.615,268,371400
1880,420,18,<1H OCEAN,4.3214,681,372300
1861,430,31,<1H OCEAN,5.2853,736,355900
277,70,17,<1H OCEAN,4.0208,119,341700
54,9,46,<1H OCEAN,0.536,20,375000
2394,500,41,<1H OCEAN,4.3889,837,380400
2515,510,44,<1H OCEAN,5.0754,967,374500
3891,866,24,<1H OCEAN,4.1656,1568,364700
1628,259,46,<1H OCEAN,6.083,500,424000
1376,317,30,<1H OCEAN,3.6823,629,295200
4382,1560,8,<1H OCEAN,3.5714,2138,197900
4670,1161,21,<1H OCEAN,3.7986,1914,367700
1253,225,42,<1H OCEAN,7.7112,492,386700
5076,1034,19,<1H OCEAN,5.5683,2021,309200
2696,713,36,<1H OCEAN,3.1146,905,373500
1610,278,39,<1H OCEAN,4.3333,511,385900
3257,679,41,<1H OCEAN,4.2415,1237,409600
6871,1180,36,<1H OCEAN,8.0499,2216,495600
1883,512,23,<1H OCEAN,3.5096,774,396400
4287,627,28,<1H OCEAN,8.5677,1498,500001
4624,781,34,<1H OCEAN,6.5533,1572,500001
1965,354,40,<1H OCEAN,6.0876,666,483800
8262,1156,32,<1H OCEAN,10.5575,2712,500001
1695,281,52,<1H OCEAN,6.0678,595,399300
417,89,45,<1H OCEAN,5.1377,187,360700
778,143,33,<1H OCEAN,5.738,258,497600
3990,892,27,<1H OCEAN,4.0439,1417,500001
3830,518,38,<1H OCEAN,12.7823,1292,500001
2298,406,52,<1H OCEAN,5.5291,1203,274600
1388,271,52,<1H OCEAN,3.7404,735,247700
3800,646,52,<1H OCEAN,5.5524,1842,293900
2387,488,46,<1H OCEAN,3.6058,1181,257900
1826,300,38,<1H OCEAN,5.2962,793,291500
277,89,39,<1H OCEAN,2.3958,182,175000
3657,708,50,<1H OCEAN,5.5456,1725,258100
2983,526,35,<1H OCEAN,5.7794,1614,272400
2090,466,52,<1H OCEAN,4.0909,1219,204200
1681,407,44,<1H OCEAN,3.2222,1105,186500
1908,628,25,<1H OCEAN,2.2267,1412,189800
1941,378,51,<1H OCEAN,3.9375,1012,217000
2525,523,47,<1H OCEAN,4.3359,1514,209200
2012,458,52,<1H OCEAN,3.925,1314,180400
2035,459,52,<1H OCEAN,3.5349,2589,193600
2465,611,52,<1H OCEAN,3.25,1433,214200
1585,420,47,<1H OCEAN,2.7098,949,173800
791,174,52,<1H OCEAN,3.3542,501,178100
2228,475,52,<1H OCEAN,3.5341,1311,182100
1081,311,52,<1H OCEAN,1.9219,904,165100
2397,488,45,<1H OCEAN,4.21,1569,167900
2568,672,35,<1H OCEAN,2.9154,1696,169200
2640,737,29,<1H OCEAN,2.369,1795,173400
3376,720,30,<1H OCEAN,3.7813,1990,232000
1309,302,50,<1H OCEAN,3.1287,883,198000
679,132,52,<1H OCEAN,4.2344,483,162500
2591,682,41,<1H OCEAN,2.3071,2366,146400
1219,324,44,<1H OCEAN,4.0417,1036,170600
2833,720,36,<1H OCEAN,2.7012,2148,172100
3369,824,30,<1H OCEAN,4.0052,2032,196400
2929,588,50,<1H OCEAN,3.3438,1931,173600
1580,426,52,<1H OCEAN,3.3326,1462,167600
1908,503,41,<1H OCEAN,2.9194,1557,162000
1590,360,52,<1H OCEAN,3.4625,1127,173900
1904,514,41,<1H OCEAN,3.6845,1666,175800
1301,389,52,<1H OCEAN,2.5139,1189,190000
678,173,52,<1H OCEAN,4.0625,791,171300
3659,1068,46,<1H OCEAN,2.5211,4153,162900
1901,525,52,<1H OCEAN,3,1856,156400
1565,398,44,<1H OCEAN,2.8125,1500,155600
3387,820,46,<1H OCEAN,2.987,2833,176900
1266,348,40,<1H OCEAN,2.1667,1032,150000
2524,749,35,<1H OCEAN,2.4932,2487,167700
1523,391,33,<1H OCEAN,2.6591,753,183800
1346,398,44,<1H OCEAN,2.3984,1204,152200
1158,309,38,<1H OCEAN,2.286,1051,169300
1638,457,26,<1H OCEAN,3.4227,1155,143800
1577,379,42,<1H OCEAN,3.2121,1317,153900
1441,534,36,<1H OCEAN,2.1793,1809,185700
2040,611,37,<1H OCEAN,1.9355,1698,166300
3643,1197,30,<1H OCEAN,2.07,4336,154500
2759,499,32,<1H OCEAN,4.3812,1661,228200
1684,316,40,<1H OCEAN,5.2723,795,218300
5077,1271,47,<1H OCEAN,3.0377,3348,186800
4003,788,35,<1H OCEAN,4.1213,2785,252100
1051,249,38,<1H OCEAN,2.712,799,143800
2483,587,46,<1H OCEAN,2.2788,2121,152900
2000,533,36,<1H OCEAN,3.7437,1234,241700
1660,412,34,<1H OCEAN,2.7708,1678,148200
1903,386,33,<1H OCEAN,4.0469,1187,196600
1353,379,41,<1H OCEAN,2.1687,1536,157000
1706,488,42,<1H OCEAN,2.5213,1941,149700
1427,415,36,<1H OCEAN,2.48,1835,138900
1072,275,45,<1H OCEAN,2.8194,996,165000
438,201,41,<1H OCEAN,2.0476,690,181300
1162,235,47,<1H OCEAN,4.6528,781,244400
737,166,48,<1H OCEAN,3.5893,462,212500
2749,580,40,<1H OCEAN,4.825,1375,205800
609,149,34,<1H OCEAN,4.5766,407,185800
1308,,48,<1H OCEAN,4.2891,835,214800
1799,426,37,<1H OCEAN,2.975,1088,244500
3306,1025,28,<1H OCEAN,3.0919,2670,185400
1937,439,35,<1H OCEAN,3.5638,1523,170500
2870,529,36,<1H OCEAN,5.2083,1371,220900
1298,242,37,<1H OCEAN,5.2049,750,240800
1546,465,28,<1H OCEAN,2.2843,974,183800
1213,301,41,<1H OCEAN,3.1806,801,204200
2094,491,32,<1H OCEAN,4.5089,1413,221100
1021,191,31,<1H OCEAN,5.5051,495,223500
4148,971,35,<1H OCEAN,3.3389,3220,187100
1281,418,11,<1H OCEAN,2.8889,1584,153100
2904,892,29,<1H OCEAN,2.6111,3320,168800
80,26,34,<1H OCEAN,0.8907,125,154200
2141,451,50,<1H OCEAN,2.7679,1777,178800
1148,348,39,<1H OCEAN,2.2167,1161,176700
2612,646,33,<1H OCEAN,3.133,2496,156000
2839,698,45,<1H OCEAN,3.1306,1768,214000
2183,510,47,<1H OCEAN,3.6667,1445,210900
2230,583,43,<1H OCEAN,2.8667,1667,217800
2222,635,43,<1H OCEAN,2.7466,1817,208900
1415,369,39,<1H OCEAN,3.015,1467,156300
1525,456,42,<1H OCEAN,3.1691,1688,141300
125,42,52,<1H OCEAN,3.4375,99,170000
598,147,42,<1H OCEAN,2.625,312,164300
4198,956,42,<1H OCEAN,3.7184,1935,277300
1740,402,52,<1H OCEAN,3.5673,749,270700
3768,1211,29,<1H OCEAN,2.7685,2320,204500
1375,359,47,<1H OCEAN,2.1071,1512,208900
1613,396,46,<1H OCEAN,2.9392,966,230300
1832,539,36,<1H OCEAN,3.0521,934,276600
3825,916,39,<1H OCEAN,4.4094,1378,352600
4453,1156,38,<1H OCEAN,3.6181,1830,495600
1607,331,45,<1H OCEAN,3.1445,633,438300
2384,312,50,<1H OCEAN,12.8763,836,500001
1942,476,52,<1H OCEAN,2.7348,1375,209100
2290,520,52,<1H OCEAN,3.8393,1278,238200
2037,440,50,<1H OCEAN,3.575,1089,230600
2774,570,30,<1H OCEAN,5.296,1076,500001
2681,737,40,<1H OCEAN,3.0461,1144,264300
2196,582,39,<1H OCEAN,2.9417,1165,254200
1711,443,43,<1H OCEAN,3.5172,1190,265500
3696,1125,24,<1H OCEAN,2.3789,1685,266700
2850,379,49,<1H OCEAN,12.9591,1113,500001
1448,295,48,<1H OCEAN,3.2333,681,436400
3136,675,52,<1H OCEAN,3.5806,1213,391900
5305,1980,37,<1H OCEAN,2.0672,3895,283300
1590,218,25,<1H OCEAN,8.4389,568,500001
1954,245,52,<1H OCEAN,6.9391,645,500001
1875,303,52,<1H OCEAN,5.8659,735,433300
3895,561,39,<1H OCEAN,8.0073,1271,500001
2822,443,40,<1H OCEAN,7.2692,907,498700
3410,800,52,<1H OCEAN,4.15,1218,393500
2462,543,42,<1H OCEAN,4.0833,857,434400
5135,1450,33,<1H OCEAN,3.2462,2404,435700
4472,1579,48,<1H OCEAN,2.3974,2796,410700
3495,1100,38,<1H OCEAN,2.2148,1939,438300
1601,464,48,<1H OCEAN,3.0642,784,342900
2330,434,37,<1H OCEAN,8.2335,846,430200
1856,273,34,<1H OCEAN,4.0833,540,500001
1894,416,23,<1H OCEAN,6.0352,769,500001
2375,417,45,<1H OCEAN,6.6739,751,500001
4574,1423,23,<1H OCEAN,4.0965,1624,500001
5485,1242,40,<1H OCEAN,3.6974,2034,500001
3977,1050,26,<1H OCEAN,3.358,1720,364500
1295,281,52,<1H OCEAN,2.976,578,405100
1096,247,52,<1H OCEAN,3.0179,423,500001
7432,2793,18,<1H OCEAN,2.8036,3596,225000
2930,1038,16,<1H OCEAN,2.6458,1648,372200
2745,782,20,<1H OCEAN,3.9044,1161,436400
4109,1301,18,<1H OCEAN,2.325,2103,250000
5477,1803,24,<1H OCEAN,1.845,2863,237500
937,348,51,<1H OCEAN,4.3571,527,468800
3193,1452,29,<1H OCEAN,1.8209,2039,500001
1996,791,24,<1H OCEAN,1.5429,1215,325000
2223,752,28,<1H OCEAN,2.5434,1271,232100
5293,2446,30,<1H OCEAN,1.51,4123,187500
2732,1646,43,<1H OCEAN,1.3157,3049,333300
4984,2158,40,<1H OCEAN,1.6903,4828,350000
1759,716,28,<1H OCEAN,1.7306,1463,450000
7517,2961,35,<1H OCEAN,1.9354,5899,340000
3926,1715,25,<1H OCEAN,1.6112,4865,262500
2288,1033,36,<1H OCEAN,1.5328,3030,250000
766,347,33,<1H OCEAN,1.705,918,350000
1116,524,48,<1H OCEAN,1.625,1610,237500
1913,696,45,<1H OCEAN,2.0888,1552,237500
1615,734,43,<1H OCEAN,1.4005,1460,193800
2473,1171,34,<1H OCEAN,1.6331,2655,162500
1679,682,30,<1H OCEAN,2.1403,1445,200000
732,288,29,<1H OCEAN,2.1866,691,250000
399,141,34,<1H OCEAN,1.625,482,67500
2065,839,34,<1H OCEAN,1.8214,2626,211100
720,267,28,<1H OCEAN,1.8977,891,100000
773,,37,<1H OCEAN,1.8576,835,193800
563,191,32,<1H OCEAN,2.0341,626,250000
210,98,27,<1H OCEAN,2.5556,332,175000
1655,690,36,<1H OCEAN,1.7325,1957,221900
1478,675,34,<1H OCEAN,2.0557,1976,225000
622,229,31,<1H OCEAN,1.5284,597,200000
2193,965,30,<1H OCEAN,1.8277,2197,137500
786,270,52,<1H OCEAN,2.2311,756,206300
3403,1367,29,<1H OCEAN,1.7083,3432,166700
3058,1215,40,<1H OCEAN,1.8156,3953,218800
787,420,36,<1H OCEAN,1.2412,1506,216700
2067,914,38,<1H OCEAN,1.7641,2717,250000
2284,899,36,<1H OCEAN,1.9297,1964,203300
2716,1114,34,<1H OCEAN,1.7514,2991,187500
2332,993,36,<1H OCEAN,2.2612,3155,230400
631,298,39,<1H OCEAN,2.7054,744,162500
2240,792,29,<1H OCEAN,2.3317,2254,172500
790,275,38,<1H OCEAN,3.0357,664,175000
1583,658,43,<1H OCEAN,1.9835,1941,225000
1562,648,28,<1H OCEAN,1.9766,1974,112500
2198,998,35,<1H OCEAN,2.0467,3441,158300
2624,1116,35,<1H OCEAN,2.0132,3548,198400
336,173,39,<1H OCEAN,1.8056,586,262500
1272,322,52,<1H OCEAN,1.9063,984,261600
3245,1190,29,<1H OCEAN,2.1927,3906,253300
2345,852,25,<1H OCEAN,1.4497,2860,205600
2202,674,32,<1H OCEAN,2.0307,2178,226700
2517,842,36,<1H OCEAN,2.1524,2446,187500
3165,1263,30,<1H OCEAN,2,3678,240600
1951,846,42,<1H OCEAN,1.5195,2500,218200
2666,,44,<1H OCEAN,1.676,2297,208800
1871,766,30,<1H OCEAN,2.0044,2595,212500
2173,819,28,<1H OCEAN,1.879,2548,218800
654,186,36,<1H OCEAN,3.6953,416,200000
561,180,36,<1H OCEAN,1.4375,340,165000
2004,687,40,<1H OCEAN,1.9911,1514,220000
2665,954,5,<1H OCEAN,2.3568,1733,204700
3032,999,14,<1H OCEAN,2.2,1691,210000
3457,854,50,<1H OCEAN,3.1078,1584,346700
1731,502,52,<1H OCEAN,3.2946,849,321600
1430,186,52,<1H OCEAN,10.3661,547,500001
1800,546,47,<1H OCEAN,2.8021,921,280600
1003,200,52,<1H OCEAN,3.8472,514,395700
2088,388,52,<1H OCEAN,3.8141,908,342000
2210,643,42,<1H OCEAN,2.5982,1228,315800
1710,350,52,<1H OCEAN,4.5833,727,333900
1965,480,52,<1H OCEAN,3.2824,794,304800
1164,257,52,<1H OCEAN,3.125,575,380400
1777,454,52,<1H OCEAN,3.5083,671,500001
2989,832,50,<1H OCEAN,3.2426,1345,442900
1390,457,30,<1H OCEAN,2.2422,1460,254500
2275,823,31,<1H OCEAN,1.7542,2189,287500
2038,534,46,<1H OCEAN,2.4196,1250,358100
1443,521,23,<1H OCEAN,2.7543,1264,220000
1137,304,52,<1H OCEAN,3.37,754,330300
2370,473,52,<1H OCEAN,4.1429,1053,380300
2501,1047,34,<1H OCEAN,1.8771,3326,247500
1276,503,36,<1H OCEAN,2.1766,1502,205600
1514,510,27,<1H OCEAN,2.8971,1603,251100
1609,534,26,<1H OCEAN,2.7038,1868,227100
479,182,34,<1H OCEAN,1.525,557,210000
1864,937,23,<1H OCEAN,1.8495,2795,212500
1562,651,34,<1H OCEAN,1.5685,1774,225000
2880,1063,32,<1H OCEAN,2.3846,3646,258300
2459,823,25,<1H OCEAN,2.4,2635,173900
380,130,38,<1H OCEAN,1.9286,445,137500
2821,399,34,<1H OCEAN,11.615,843,500001
3902,610,26,<1H OCEAN,8.5136,1468,500001
7478,1678,33,<1H OCEAN,4.1717,2701,500001
3946,695,35,<1H OCEAN,6.5195,1361,500001
2601,523,38,<1H OCEAN,7.1134,870,416700
5518,979,42,<1H OCEAN,8.5842,1863,500001
2963,838,36,<1H OCEAN,2.5588,1129,500001
407,67,37,<1H OCEAN,15.0001,100,500001
3798,586,39,<1H OCEAN,9.3092,975,500001
6310,957,30,<1H OCEAN,8.944,1776,500001
730,126,41,<1H OCEAN,4.3214,230,500001
2158,582,38,<1H OCEAN,2.9643,1061,355300
3110,764,40,<1H OCEAN,1.9937,1557,367100
2946,695,52,<1H OCEAN,3.9783,1258,374100
3008,938,22,<1H OCEAN,3.2149,1224,300000
2697,706,31,<1H OCEAN,2.8942,1059,500001
2195,483,45,<1H OCEAN,3.3864,1265,397900
1466,254,52,<1H OCEAN,5.7524,600,393600
1234,223,52,<1H OCEAN,6.0338,543,423700
2566,571,48,<1H OCEAN,3.6579,1421,318600
1310,263,52,<1H OCEAN,4.0721,689,350000
3149,519,51,<1H OCEAN,6.4459,1082,421600
3729,740,41,<1H OCEAN,5.7778,1364,412700
4138,1130,41,<1H OCEAN,2.978,1859,306800
1156,203,46,<1H OCEAN,4.2019,514,352100
2036,348,52,<1H OCEAN,5.4122,775,397500
1803,437,52,<1H OCEAN,4.5781,787,360500
2728,585,44,<1H OCEAN,4.0602,1227,324000
2113,398,50,<1H OCEAN,4.7132,793,304600
1767,467,49,<1H OCEAN,3.0958,1066,210900
805,246,48,<1H OCEAN,2.3421,633,200000
2843,880,49,<1H OCEAN,2.7875,2004,217300
1527,295,48,<1H OCEAN,4.1667,589,344800
3225,763,52,<1H OCEAN,3.9674,1559,268800
2273,663,52,<1H OCEAN,2.3333,1480,196500
2327,555,52,<1H OCEAN,3.7847,1048,252300
1532,366,51,<1H OCEAN,3.6434,669,278800
3503,833,36,<1H OCEAN,3.8448,2652,241400
1079,222,52,<1H OCEAN,4.625,439,230800
3646,912,44,<1H OCEAN,2.9709,1783,225000
984,276,52,<1H OCEAN,2.3816,994,166700
1396,360,41,<1H OCEAN,2.4375,1069,203300
